"SG_UF";"NM_UE";"CD_CARGO";"NM_CANDIDATO";"DS_SITUACAO_CANDIDATURA";"NR_PARTIDO";"SG_PARTIDO";"NR_IDADE_DATA_POSSE";"CD_GENERO";"CD_GRAU_INSTRUCAO";"CD_COR_RACA";"CD_ESTADO_CIVIL";"ST_REELEICAO";"eleito";"DS_SIT_TOT_TURNO";"NUM_VOTOS"
"AP";"TARTARUGALZINHO";13;"JOSÉ ANGELO NUNES DA SILVA";"APTO";11;"PP";40;2;6;"03";3;"N";2;"ELEITO POR QP";269
"AP";"MACAPÁ";13;"JORGE ALCINDO FURTADO ABIDON";"APTO";11;"PP";74;2;6;"03";1;"N";1;"ELEITO POR MEDIA";1444
"AP";"AMAPÁ";13;"KELLEY LOBATO";"APTO";22;"PL";42;4;8;"03";1;"S";2;"ELEITO POR QP";270
"AP";"LARANJAL DO JARI";13;"WILBYSON HAROLDO FERREIRA BATISTA";"APTO";18;"REDE";38;2;8;"03";3;"N";2;"ELEITO POR QP";399
"AP";"MACAPÁ";13;"ARILSON LOBATO MELO";"APTO";28;"PRTB";41;2;6;"03";3;"N";1;"ELEITO POR MEDIA";2914
"AP";"VITÓRIA DO JARI";13;"WANDERSON VIEIRA";"APTO";10;"REPUBLICANOS";33;2;6;"03";1;"N";1;"ELEITO POR MEDIA";193
"AP";"OIAPOQUE";13;"UESLEI NEI DA SILVEIRA TELES";"APTO";90;"PROS";35;2;6;"03";9;"N";2;"ELEITO POR QP";522
"AP";"MACAPÁ";13;"ALEXANDRE RAMOS DA COSTA";"APTO";11;"PP";45;2;8;"02";3;"N";2;"ELEITO POR QP";1521
"AP";"CUTIAS";13;"EVAN CRISTIAN PEREIRA CARVALHO";"APTO";12;"PDT";27;4;7;"03";9;"S";1;"ELEITO POR MEDIA";207
"AP";"VITÓRIA DO JARI";13;"ALDEMIR DUARTE PIRES";"APTO";90;"PROS";30;2;8;"01";1;"N";2;"ELEITO POR QP";218
"AP";"LARANJAL DO JARI";13;"WALCIMAR RIBEIRO FONSECA";"APTO";22;"PL";39;2;6;"02";1;"N";2;"ELEITO POR QP";817
"AP";"PRACUÚBA";13;"JOELSON DOS ANJOS OLIVEIRA";"APTO";55;"PSD";47;2;6;"03";1;"N";1;"ELEITO POR MEDIA";153
"AP";"PRACUÚBA";13;"ABMAEL DAS OLIVEIRA BELO";"APTO";10;"REPUBLICANOS";40;2;6;"06";3;"N";2;"ELEITO POR QP";142
"AP";"SERRA DO NAVIO";13;"NAALIEL ALVES CORREA CASTELO";"APTO";12;"PDT";32;2;6;"01";1;"N";2;"ELEITO POR QP";157
"AP";"ITAUBAL";13;"ODNIWALDO BRAZAO DA COSTA";"APTO";65;"PC do B";44;2;8;"03";3;"N";1;"ELEITO POR MEDIA";171
